Sample_ID,Type,Brand,Lat-Long,Location_made,Grouping,Class,Acquisition_date,Extract_date,Extraction_ID,Location_Type_made,Country_obtained,Milk_Type,Ferment_days
LNM1,Fresh_raw_sheep_cheese,Local,"43.66547031455824, 2.45386246303461",Fontrieu,,Dairy,5-Dec-21,6-Dec-21,E1,Farm,France,Sheep,
LNM2,Raw_Roquefort_Carles_blue_cheese,Local,"44.292650976542205, 2.51639218754828",Aveyron,,Dairy,5-Dec-21,6-Dec-21,E1,Farm,France,Sheep,
LNM3,Raw_saint_felicien_cheese,Local,"45.48304781253344, 5.174886964350282",Dauphine,,Dairy,5-Dec-21,6-Dec-21,E1,Farm,France,Cow,
LNM4,Raw_goat_buchette_cheese,Local,"43.84129813071417, 2.1575430725683145",Tarn,,Dairy,5-Dec-21,6-Dec-21,E1,Farm,France,Goat,
LNM5,Raw_goat_rocamadour_cheese,Local,"44.822546764540235, 1.6320714859475425",Lot,,Dairy,5-Dec-21,6-Dec-21,E1,Farm,France,Goat,
LNM6,Cow_faisselle,Local,"44.788491248084874, 1.4620661367100003",Payrac,,Dairy,5-Dec-21,6-Dec-21,E1,Farm,France,Cow,
LNM7,Fresh_raw_goat_cheese,Local,"43.60438594396163, 1.455788544778122",Unknown,,Dairy,5-Dec-21,6-Dec-21,E1,Farm,France,Goat,
LNM8,Cow_skyr,Danone,"48.86922181622034, 2.1806112894571856",Rueil-Malmaison,,Dairy,3-Dec-21,6-Dec-21,E1,Industrial,France,Cow,
LNM9,Water_kefir,Home,"43.53930339184508, 1.4655985560696239",Ramonville,,Dairy,6-Dec-21,6-Dec-21,E1,Home,France,NA,
LNM10,Sheep_skyr,Local,"43.59906690491448, 1.4358128407569684",Toulouse,,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Sheep,
LNM11,Sheep_fromage_blanc,Local,"43.59906690491448, 1.4358128407569684",Toulouse,,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Sheep,
LNM12,Fresh_raw_sheep_cheese,Local,"43.59906690491448, 1.4358128407569684",Toulouse,,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Sheep,
LNM13,Raw_sheep_milk,Local,"43.59906690491448, 1.4358128407569684",Toulouse,,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Sheep,
LNM14,Fresh_sheep_cheese,Local,"43.59906690491448, 1.4358128407569684",Toulouse,,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Sheep,
LNM15,Sheep_yogurt,Local,"43.59906690491448, 1.4358128407569684",Toulouse,,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Sheep,
LNM16,Buffalo_yogurt_with_nuts,Local,"43.59906690491448, 1.4358128407569684",Toulouse,,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Water_Buffalo,
LNM17,Raw_sheep_confine_cheese_rind,Local,"43.59906690491448, 1.4358128407569684",Toulouse,Cheese_pair_1,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Sheep,
LNM18,Raw_sheep_confine_cheese_core,Local,"43.59906690491448, 1.4358128407569684",Toulouse,Cheese_pair_1,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Sheep,
LNM19,Raw_sheep_cheese_rind,Local,"43.59906690491448, 1.4358128407569684",Toulouse,Cheese_pair_2,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Sheep,
LNM20,Raw_sheep_cheese_core,Local,"43.59906690491448, 1.4358128407569684",Toulouse,Cheese_pair_2,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Sheep,
LNM21,Raw_sheep_cheese_rind,Local,"43.59906690491448, 1.4358128407569684",Toulouse,Cheese_pair_3,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Sheep,
LNM22,Raw_sheep_cheese_core,Local,"43.59906690491448, 1.4358128407569684",Toulouse,Cheese_pair_3,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Sheep,
LNM23,Munster_cheese_rind,Local,"48.375304227583065, 7.2757575355031845",Breitenbach,,Dairy,7-Dec-21,8-Dec-21,E2,Farm,France,Sheep,
LNM24,Buffalo_munster_style_cheese_rind,Local,"43.59906690491448, 1.4358128407569684",Toulouse,Cheese_pair_4,Dairy,7-Dec-21,8-Dec-21,E2,Fromagerie,France,Water_Buffalo,
