index,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis,k__Bacteria;p__Firmicutes;c__Bacilli;__;__;__;__,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__veronii,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__subflava
LNM1,2272,5,0,803,0,1197,0,31,0,0,910,0
LNM2,2497,0,0,1469,0,647,0,0,0,0,711,0
LNM3,2419,0,0,1166,5,964,6,0,0,0,509,0
LNM4,1356,0,0,719,0,909,7,0,0,0,250,0
LNM5,1853,0,0,647,0,531,0,0,0,0,565,0
LNM6,2906,0,0,1081,0,415,0,0,0,0,693,0
LNM7,3360,0,0,930,0,334,0,0,0,0,906,0
LNM8,2681,0,0,1623,5,243,0,3,0,0,129,0
LNM9,10,51,353,0,27,0,82,71,10,11,0,0
LNM10,10,62,793,0,51,0,227,98,84,24,6,19
LNM11,23,24,95,0,0,0,96,34,0,1324,20,0
LNM12,12,32,117,0,0,0,49,43,0,46,12,0
LNM13,0,996,341,3,1181,0,0,632,207,0,0,192
LNM14,20,47,230,12,25,0,274,29,0,22,13,0
LNM15,14,121,407,0,36,0,318,19,0,304,10,0
LNM16,0,182,494,0,76,0,105,495,138,0,0,0
LNM17,362,0,0,234,5,28,0,0,0,0,13,0
LNM18,0,22,46,0,0,0,75,7,0,0,0,0
LNM19,6,0,144,0,16,0,145,13,8,0,5,0
LNM20,11,22,70,0,15,0,59,10,9,281,14,0
LNM21,13,16,35,0,0,0,24,19,0,85,3,0
LNM22,385,0,3,261,0,117,0,0,0,0,182,0
LNM23,55,330,1269,0,124,0,1392,77,17,622,50,0
LNM24,0,522,1712,0,355,5,366,387,120,19,0,0
LNM25,14,170,422,0,84,0,1426,319,10,118,0,0
LNM26,10,18,216,0,529,0,0,176,180,0,0,0
LNM27,0,0,140,9,454,0,0,42,118,0,0,508
LNM28,0,0,107,0,254,0,0,107,722,0,0,85
LNM29,5,30,215,0,343,0,0,203,157,0,0,443
LNM30,0,0,148,0,374,0,0,500,404,0,0,479
LNM31,10,374,117,0,532,0,0,169,78,0,0,72
LNM32,0,3323,215,8,940,0,0,622,220,0,0,203
LNM33,0,1723,500,5,1214,0,0,908,199,0,0,0
LNM34,9,1341,465,0,541,0,0,641,1144,0,0,0
LNM35,2272,5,0,803,0,1197,0,31,0,0,910,0
LNM36,2497,0,0,1469,0,647,0,0,0,0,711,0
LNM37,2419,0,0,1166,5,964,6,0,0,0,509,0
LNM38,1356,0,0,719,0,909,7,0,0,0,250,0
LNM39,1853,0,0,647,0,531,0,0,0,0,565,0
LNM40,2906,0,0,1081,0,415,0,0,0,0,693,0
LNM41,3360,0,0,930,0,334,0,0,0,0,906,0
LNM42,2681,0,0,1623,5,243,0,3,0,0,129,0
LNM43,10,51,353,0,27,0,82,71,10,11,0,0
LNM44,10,62,793,0,51,0,227,98,84,24,6,19
LNM45,23,24,95,0,0,0,96,34,0,1324,20,0
LNM46,12,32,117,0,0,0,49,43,0,46,12,0
LNM47,0,996,341,3,1181,0,0,632,207,0,0,192
LNM48,20,47,230,12,25,0,274,29,0,22,13,0
LNM49,14,121,407,0,36,0,318,19,0,304,10,0
LNM50,0,182,494,0,76,0,105,495,138,0,0,0
LNM51,362,0,0,234,5,28,0,0,0,0,13,0
LNM52,0,22,46,0,0,0,75,7,0,0,0,0
LNM53,6,0,144,0,16,0,145,13,8,0,5,0
LNM54,11,22,70,0,15,0,59,10,9,281,14,0
LNM55,13,16,35,0,0,0,24,19,0,85,3,0
LNM56,385,0,3,261,0,117,0,0,0,0,182,0
LNM57,55,330,1269,0,124,0,1392,77,17,622,50,0
LNM58,0,522,1712,0,355,5,366,387,120,19,0,0
LNM59,14,170,422,0,84,0,1426,319,10,118,0,0
LNM60,10,18,216,0,529,0,0,176,180,0,0,0
LNM61,0,0,140,9,454,0,0,42,118,0,0,508
LNM62,0,0,107,0,254,0,0,107,722,0,0,85
LNM63,5,30,215,0,343,0,0,203,157,0,0,443
